INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../../matmul-tb.cpp in debug mode
   Generating csim.exe
Last signal: 1
85344 -85344
-5984 -168608
-101216 -247712
-200352 -322656
-303392 -393440
-410336 -460064
-521184 -522528
-635936 -580832
-754592 -634976
-877152 -684960
-1.00362e+06 -730784
-1.13398e+06 -772448
-1.26826e+06 -809952
-1.40643e+06 -843296
-1.54851e+06 -872480
-1.6945e+06 -897504
-1.84438e+06 -918368
-1.99818e+06 -935072
-2.15587e+06 -947616
-2.31747e+06 -956000
-2.48298e+06 -960224
-2.65238e+06 -960288
-2.8257e+06 -956192
-3.00291e+06 -947936
-3.18403e+06 -935520
-3.36906e+06 -918944
-3.55798e+06 -898208
-3.75082e+06 -873312
-3.94755e+06 -844256
-4.14819e+06 -811040
-4.35274e+06 -773664
-4.56118e+06 -732128
-4.77354e+06 -686432
-4.98979e+06 -636576
-5.20995e+06 -582560
-5.43402e+06 -524384
-5.66198e+06 -462048
-5.89386e+06 -395552
-6.12963e+06 -324896
-6.36931e+06 -250080
-6.6129e+06 -171104
-6.86038e+06 -87968
-7.11178e+06 -672
-7.36707e+06 90784
-7.62627e+06 186400
-7.88938e+06 286176
-8.15638e+06 390112
-8.4273e+06 498208
-8.70211e+06 610464
-8.98083e+06 726880
-9.26346e+06 847456
-9.54998e+06 972192
-9.84042e+06 1.10109e+06
-1.01348e+07 1.23414e+06
-1.0433e+07 1.37136e+06
-1.07351e+07 1.51274e+06
-1.10412e+07 1.65827e+06
-1.13511e+07 1.80797e+06
-1.1665e+07 1.96182e+06
-1.19828e+07 2.11984e+06
-1.23044e+07 2.28202e+06
-1.263e+07 2.44835e+06
-1.29595e+07 2.61885e+06
-1.32928e+07 2.7935e+06
-1.36301e+07 2.97232e+06
-1.39713e+07 3.1553e+06
-1.43164e+07 3.34243e+06
-1.46654e+07 3.53373e+06
-1.50183e+07 3.72918e+06
-1.53751e+07 3.9288e+06
-1.57358e+07 4.13258e+06
-1.61004e+07 4.34051e+06
-1.64689e+07 4.55261e+06
-1.68413e+07 4.76886e+06
-1.72176e+07 4.98928e+06
-1.75979e+07 5.21386e+06
-1.7982e+07 5.44259e+06
-1.837e+07 5.67549e+06
-1.8762e+07 5.91254e+06
-1.91578e+07 6.15376e+06
-1.95575e+07 6.39914e+06
-1.99612e+07 6.64867e+06
-2.03687e+07 6.90237e+06
-2.07802e+07 7.16022e+06
-2.11956e+07 7.42224e+06
-2.16148e+07 7.68842e+06
-2.2038e+07 7.95875e+06
-2.24651e+07 8.23325e+06
-2.2896e+07 8.5119e+06
-2.33309e+07 8.79472e+06
-2.37697e+07 9.0817e+06
-2.42124e+07 9.37283e+06
-2.4659e+07 9.66813e+06
-2.51095e+07 9.96758e+06
-2.55639e+07 1.02712e+07
-2.60222e+07 1.0579e+07
-2.64844e+07 1.08909e+07
-2.69505e+07 1.1207e+07
-2.74205e+07 1.15273e+07
-2.78944e+07 1.18517e+07
-2.83723e+07 1.21803e+07
-2.8854e+07 1.2513e+07
-2.93396e+07 1.28499e+07
-2.98291e+07 1.31909e+07
-3.03226e+07 1.35362e+07
-3.08199e+07 1.38855e+07
-3.13212e+07 1.42391e+07
-3.18263e+07 1.45968e+07
-3.23354e+07 1.49586e+07
-3.28484e+07 1.53246e+07
-3.33652e+07 1.56948e+07
-3.3886e+07 1.60692e+07
-3.44107e+07 1.64476e+07
-3.49392e+07 1.68303e+07
-3.54717e+07 1.72171e+07
-3.60081e+07 1.76081e+07
-3.65484e+07 1.80032e+07
-3.70926e+07 1.84025e+07
-3.76407e+07 1.8806e+07
-3.81927e+07 1.92136e+07
-3.87486e+07 1.96254e+07
-3.93084e+07 2.00413e+07
-3.98721e+07 2.04614e+07
-4.04397e+07 2.08857e+07
-4.10112e+07 2.13141e+07
-4.15867e+07 2.17467e+07
-4.2166e+07 2.21834e+07
-4.27492e+07 2.26243e+07
-4.33364e+07 2.30693e+07
-4.39274e+07 2.35186e+07
-4.45223e+07 2.39719e+07
-4.51212e+07 2.44295e+07
-4.57239e+07 2.48912e+07
-4.63306e+07 2.5357e+07
-4.69411e+07 2.5827e+07
-4.75556e+07 2.63012e+07
-4.8174e+07 2.67796e+07
-4.87963e+07 2.72621e+07
-4.94224e+07 2.77487e+07
-5.00525e+07 2.82395e+07
-5.06865e+07 2.87345e+07
-5.13244e+07 2.92336e+07
-5.19662e+07 2.97369e+07
-5.26119e+07 3.02444e+07
-5.32615e+07 3.0756e+07
-5.3915e+07 3.12718e+07
-5.45724e+07 3.17917e+07
-5.52337e+07 3.23158e+07
-5.58989e+07 3.28441e+07
-5.6568e+07 3.33765e+07
-5.7241e+07 3.3913e+07
-5.7918e+07 3.44538e+07
-5.85988e+07 3.49987e+07
-5.92836e+07 3.55478e+07
-5.99722e+07 3.61009e+07
-6.06647e+07 3.66583e+07
-6.13612e+07 3.72199e+07
-6.20615e+07 3.77856e+07
-6.27658e+07 3.83554e+07
-6.34739e+07 3.89294e+07
-6.4186e+07 3.95076e+07
-6.4902e+07 4.009e+07
-6.56218e+07 4.06764e+07
-6.63456e+07 4.12671e+07
-6.70733e+07 4.18619e+07
-6.78049e+07 4.24609e+07
-6.85404e+07 4.3064e+07
-6.92798e+07 4.36713e+07
-7.00231e+07 4.42828e+07
-7.07703e+07 4.48984e+07
-7.15214e+07 4.55182e+07
-7.22764e+07 4.61421e+07
-7.30353e+07 4.67702e+07
-7.37981e+07 4.74025e+07
-7.45648e+07 4.80389e+07
-7.53354e+07 4.86794e+07
-7.611e+07 4.93242e+07
-7.68884e+07 4.99731e+07
-7.76707e+07 5.06261e+07
-7.8457e+07 5.12833e+07
-7.92471e+07 5.19448e+07
-8.00412e+07 5.26103e+07
-8.08391e+07 5.328e+07
-8.1641e+07 5.39538e+07
-8.24468e+07 5.46319e+07
-8.32564e+07 5.5314e+07
-8.407e+07 5.60003e+07
-8.48874e+07 5.66908e+07
-8.57088e+07 5.73855e+07
-8.65341e+07 5.80843e+07
-8.73633e+07 5.87873e+07
-8.81964e+07 5.94944e+07
-8.90334e+07 6.02057e+07
-8.98743e+07 6.09212e+07
-9.07191e+07 6.16408e+07
-9.15678e+07 6.23646e+07
